Fecha,Hora,CE,N,NE,NE2,NO,NO2,SE2,SO,SO2
2014-01-01,00,24.600000,,9.700000,17.600000,32.800000,10.100000,10.900000,27.400000,
2014-01-01,01,22.900000,,10.100000,16.600000,30.700000,9.600000,9.600000,20.000000,
2014-01-01,02,22.700000,,9.600000,17.900000,30.300000,8.400000,7.400000,17.700000,
2014-01-01,03,19.600000,,8.400000,17.600000,23.100000,8.100000,8.400000,17.300000,
2014-01-01,04,15.300000,,8.000000,17.900000,23.300000,8.400000,8.800000,17.000000,
2014-01-01,05,16.400000,,8.000000,18.400000,16.500000,8.300000,9.100000,17.200000,
2014-01-01,06,18.000000,,8.200000,18.400000,14.900000,8.700000,9.300000,10.200000,
2014-01-01,07,15.900000,,8.800000,20.600000,21.400000,8.300000,10.500000,15.500000,
2014-01-01,08,18.100000,,10.900000,23.000000,24.800000,11.500000,15.500000,20.100000,
2014-01-01,09,26.700000,,16.700000,23.900000,32.100000,15.000000,19.400000,21.500000,
2014-01-01,10,36.000000,,13.600000,22.200000,24.500000,8.200000,17.200000,19.300000,
2014-01-01,11,37.900000,,10.600000,,30.000000,5.300000,14.300000,22.000000,
2014-01-01,12,38.000000,,9.000000,15.000000,24.400000,4.200000,11.800000,18.300000,
2014-01-01,13,37.800000,,10.000000,,31.000000,4.700000,8.100000,17.700000,
2014-01-01,14,30.500000,,8.600000,13.400000,28.200000,5.300000,9.900000,13.900000,
2014-01-01,15,27.400000,,9.900000,,30.600000,8.500000,8.700000,27.400000,
2014-01-01,16,29.000000,,13.100000,14.700000,35.700000,13.000000,15.000000,40.400000,
2014-01-01,17,33.800000,,22.000000,16.700000,44.200000,15.600000,19.200000,47.300000,
2014-01-01,18,37.100000,,26.800000,29.400000,47.400000,18.600000,28.200000,29.400000,
2014-01-01,19,30.700000,,25.100000,33.600000,44.400000,13.700000,26.000000,17.300000,
2014-01-01,20,31.700000,,24.300000,33.200000,39.400000,13.900000,24.100000,17.900000,
2014-01-01,21,29.500000,,22.200000,33.600000,37.600000,13.800000,21.000000,13.000000,
2014-01-01,22,30.400000,,19.800000,30.900000,35.300000,8.900000,17.000000,9.400000,
2014-01-01,23,25.700000,,16.300000,29.800000,28.800000,10.500000,19.100000,10.000000,
2014-01-02,00,23.100000,,14.300000,29.400000,27.600000,10.100000,18.100000,10.400000,
2014-01-02,01,19.900000,,15.200000,28.500000,23.600000,11.200000,20.500000,10.600000,
2014-01-02,02,16.100000,,16.800000,27.200000,19.300000,10.400000,28.100000,16.600000,
2014-01-02,03,14.400000,,15.400000,24.900000,11.800000,8.700000,19.400000,23.700000,
2014-01-02,04,12.600000,,12.100000,16.500000,15.400000,8.100000,17.300000,17.700000,
