cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,1900,1910,1921,1930,1940,1950,1960,1970,1980,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unidad_medida
19,Nuevo León,0,Estatal,1002000001,Población total,,365150,336412,417491,541147,740191,1078848,1694689,2513044,3098736,,,,,3550114,,,,,3834141,,,,,4199292,,,,,4653458,,,,,5131938,,,,,5784442,Número de personas
19,Nuevo León,0,Estatal,1002000002,Población total hombres,,,,,,,,,,,,,,,1773793,,,,,1907939,,,,,2090673,,,,,2320185,,,,,,,,,,2890950,Número de personas
19,Nuevo León,0,Estatal,1002000003,Población total mujeres,,,,,,,,,,,,,,,1776321,,,,,1926202,,,,,2108619,,,,,2333273,,,,,,,,,,2893492,Número de personas
19,Nuevo León,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,,,,,,,,,,,,,,,32.1,,,,,29.9,,,,,27.2,,,,,26,,,,,25.4731317721404,,,,,,No especificada
19,Nuevo León,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,,,,,,,,,,,,,,,32.2,,,,,30,,,,,27.3,,,,,26.3,,,,,12.8527099500264,,,,,25.825071714816,No especificada
19,Nuevo León,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,,,,,,,,,,,,,,,32.1,,,,,29.8,,,,,27,,,,,25.7,,,,,12.620421822114,,,,,24.9554761478001,No especificada
19,Nuevo León,0,Estatal,1002000007,Porcentaje de población de 60 y más años,,,,,,,,,,,,,,,6.5,,,,,7.3,,,,,8.1,,,,,8.9,,,,,9.85366941797487,,,,,,No especificada
19,Nuevo León,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,,,,,,,,,,,,,,,6.2,,,,,6.8,,,,,7.7,,,,,8.3,,,,,4.60087539730411,,,,,10.5189942333203,No especificada
19,Nuevo León,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,,,,,,,,,,,,,,,6.9,,,,,7.7,,,,,8.6,,,,,9.4,,,,,5.25279402067075,,,,,12.1655077348601,No especificada
19,Nuevo León,0,Estatal,1002000010,Edad mediana,,,,,,,,,,,,,,,22,,,,,24,,,,,26,,,,,27,,,,,27.968982,,,,,30,Años
19,Nuevo León,0,Estatal,1002000011,Edad mediana hombres,,,,,,,,,,,,,,,22,,,,,24,,,,,26,,,,,27,,,,,,,,,,29,Años
19,Nuevo León,0,Estatal,1002000012,Edad mediana mujeres,,,,,,,,,,,,,,,23,,,,,25,,,,,27,,,,,28,,,,,,,,,,30,Años
19,Nuevo León,0,Estatal,1002000024,Relación hombres-mujeres,,100.7,96.9,98.9,100.4,98,101.1,101.2,,99.1,,,,,99.86,,,,,99.05,,,,,99.15,,,,,99.44,,,,,98.611524,,,,,99.9,Hombres por cada 100 mujeres
19,Nuevo León,0,Estatal,1002000055,Población de edad no especificada,,,,,,,,,,16593,,,,,3557,,,,,45553,,,,,82081,,,,,63042,,,,,,,,,,18132,Número de personas
19,Nuevo León,0,Estatal,1002000056,Población de edad no especificada. Hombres,,,,,,,,,,8202,,,,,1889,,,,,23171,,,,,41126,,,,,31616,,,,,,,,,,9049,Número de personas
19,Nuevo León,0,Estatal,1002000057,Población de edad no especificada. Mujeres,,,,,,,,,,8391,,,,,1668,,,,,22382,,,,,40955,,,,,31426,,,,,,,,,,9083,Número de personas
19,Nuevo León,0,Estatal,1002000058,Población de 0 a 4 años,,,,,,,,,,331519,,,,,372590,,,,,396563,,,,,396832,,,,,413360,,,,,,,,,,454909,Número de personas
19,Nuevo León,0,Estatal,1002000059,Población de 0 a 4 años. Hombres,,,,,,,,,,168597,,,,,190224,,,,,201948,,,,,202457,,,,,210075,,,,,,,,,,229807,Número de personas
19,Nuevo León,0,Estatal,1002000060,Población de 0 a 4 años. Mujeres,,,,,,,,,,162922,,,,,182366,,,,,194615,,,,,194375,,,,,203285,,,,,,,,,,225102,Número de personas
19,Nuevo León,0,Estatal,1002000061,Población de 10 a 14 años,,,,,,,,,,369459,,,,,360951,,,,,355194,,,,,381498,,,,,415368,,,,,,,,,,462720,Número de personas
19,Nuevo León,0,Estatal,1002000062,Población de 10 a 14 años. Hombres,,,,,,,,,,186328,,,,,183492,,,,,180250,,,,,193885,,,,,211365,,,,,,,,,,235404,Número de personas
19,Nuevo León,0,Estatal,1002000063,Población de 10 a 14 años. Mujeres,,,,,,,,,,183131,,,,,177459,,,,,174944,,,,,187613,,,,,204003,,,,,,,,,,227316,Número de personas
19,Nuevo León,0,Estatal,1002000064,Población de 100 años y más,,,,,,,,,,334,,,,,267,,,,,380,,,,,376,,,,,460,,,,,,,,,,420,Número de personas
19,Nuevo León,0,Estatal,1002000065,Población de 100 años y más. Hombres,,,,,,,,,,108,,,,,96,,,,,164,,,,,143,,,,,172,,,,,,,,,,116,Número de personas
19,Nuevo León,0,Estatal,1002000066,Población de 100 años y más. Mujeres,,,,,,,,,,226,,,,,171,,,,,216,,,,,233,,,,,288,,,,,,,,,,304,Número de personas
19,Nuevo León,0,Estatal,1002000067,Población de 15 a 19 años,,,,,,,,,,388480,,,,,390485,,,,,373807,,,,,372986,,,,,406428,,,,,,,,,,471896,Número de personas
19,Nuevo León,0,Estatal,1002000068,Población de 15 a 19 años. Hombres,,,,,,,,,,195037,,,,,195644,,,,,187079,,,,,187600,,,,,205518,,,,,,,,,,240241,Número de personas
19,Nuevo León,0,Estatal,1002000069,Población de 15 a 19 años. Mujeres,,,,,,,,,,193443,,,,,194841,,,,,186728,,,,,185386,,,,,200910,,,,,,,,,,231655,Número de personas
19,Nuevo León,0,Estatal,1002000070,Población de 20 a 24 años,,,,,,,,,,337524,,,,,412575,,,,,391235,,,,,381072,,,,,401723,,,,,,,,,,503826,Número de personas
19,Nuevo León,0,Estatal,1002000071,Población de 20 a 24 años. Hombres,,,,,,,,,,168514,,,,,207929,,,,,195585,,,,,191558,,,,,202766,,,,,,,,,,255533,Número de personas
19,Nuevo León,0,Estatal,1002000072,Población de 20 a 24 años. Mujeres,,,,,,,,,,169010,,,,,204646,,,,,195650,,,,,189514,,,,,198957,,,,,,,,,,248293,Número de personas
19,Nuevo León,0,Estatal,1002000073,Población de 25 a 29 años,,,,,,,,,,267335,,,,,336502,,,,,369135,,,,,364392,,,,,384086,,,,,,,,,,488349,Número de personas
19,Nuevo León,0,Estatal,1002000074,Población de 25 a 29 años. Hombres,,,,,,,,,,131768,,,,,166536,,,,,183270,,,,,181145,,,,,192963,,,,,,,,,,248479,Número de personas
19,Nuevo León,0,Estatal,1002000075,Población de 25 a 29 años. Mujeres,,,,,,,,,,135567,,,,,169966,,,,,185865,,,,,183247,,,,,191123,,,,,,,,,,239870,Número de personas
19,Nuevo León,0,Estatal,1002000076,Población de 30 a 34 años,,,,,,,,,,226879,,,,,283907,,,,,322572,,,,,368549,,,,,383736,,,,,,,,,,448470,Número de personas
19,Nuevo León,0,Estatal,1002000077,Población de 30 a 34 años. Hombres,,,,,,,,,,110900,,,,,140426,,,,,158942,,,,,183158,,,,,191204,,,,,,,,,,227051,Número de personas
19,Nuevo León,0,Estatal,1002000078,Población de 30 a 34 años. Mujeres,,,,,,,,,,115979,,,,,143481,,,,,163630,,,,,185391,,,,,192532,,,,,,,,,,221419,Número de personas
19,Nuevo León,0,Estatal,1002000079,Población de 35 a 39 años,,,,,,,,,,180402,,,,,243192,,,,,272200,,,,,322812,,,,,383357,,,,,,,,,,426619,Número de personas
19,Nuevo León,0,Estatal,1002000080,Población de 35 a 39 años. Hombres,,,,,,,,,,88772,,,,,120187,,,,,134659,,,,,159879,,,,,191768,,,,,,,,,,215999,Número de personas
19,Nuevo León,0,Estatal,1002000081,Población de 35 a 39 años. Mujeres,,,,,,,,,,91630,,,,,123005,,,,,137541,,,,,162933,,,,,191589,,,,,,,,,,210620,Número de personas
19,Nuevo León,0,Estatal,1002000082,Población de 40 a 44 años,,,,,,,,,,145262,,,,,183087,,,,,224330,,,,,265277,,,,,321008,,,,,,,,,,409490,Número de personas
19,Nuevo León,0,Estatal,1002000083,Población de 40 a 44 años. Hombres,,,,,,,,,,71411,,,,,90621,,,,,110097,,,,,131231,,,,,159078,,,,,,,,,,204944,Número de personas
19,Nuevo León,0,Estatal,1002000084,Población de 40 a 44 años. Mujeres,,,,,,,,,,73851,,,,,92466,,,,,114233,,,,,134046,,,,,161930,,,,,,,,,,204546,Número de personas
19,Nuevo León,0,Estatal,1002000085,Población de 45 a 49 años,,,,,,,,,,121838,,,,,151856,,,,,168680,,,,,218683,,,,,260606,,,,,,,,,,387678,Número de personas
19,Nuevo León,0,Estatal,1002000086,Población de 45 a 49 años. Hombres,,,,,,,,,,60748,,,,,75209,,,,,82616,,,,,106900,,,,,128429,,,,,,,,,,194154,Número de personas
19,Nuevo León,0,Estatal,1002000087,Población de 45 a 49 años. Mujeres,,,,,,,,,,61090,,,,,76647,,,,,86064,,,,,111783,,,,,132177,,,,,,,,,,193524,Número de personas
19,Nuevo León,0,Estatal,1002000088,Población de 5 a 9 años,,,,,,,,,,350558,,,,,360813,,,,,385771,,,,,403641,,,,,430525,,,,,,,,,,463819,Número de personas
19,Nuevo León,0,Estatal,1002000089,Población de 5 a 9 años. Hombres,,,,,,,,,,178254,,,,,183897,,,,,196456,,,,,205432,,,,,219102,,,,,,,,,,235679,Número de personas
19,Nuevo León,0,Estatal,1002000090,Población de 5 a 9 años. Mujeres,,,,,,,,,,172304,,,,,176916,,,,,189315,,,,,198209,,,,,211423,,,,,,,,,,228140,Número de personas
19,Nuevo León,0,Estatal,1002000091,Población de 50 a 54 años,,,,,,,,,,100263,,,,,122905,,,,,144499,,,,,172436,,,,,220801,,,,,,,,,,334439,Número de personas
19,Nuevo León,0,Estatal,1002000092,Población de 50 a 54 años. Hombres,,,,,,,,,,49598,,,,,60893,,,,,70886,,,,,83952,,,,,107080,,,,,,,,,,164492,Número de personas
